Time,Team,Killer,Action,Team,Killed,Weapon
09:21,3,TonyRC09,killed,16,1HP JAY,Fire
09:30,3,estebancam18,killed,16,icydrip02,Shotgun
09:41,7,Kaydec9,knocked,6,aka Dyl,Shotgun
09:41,16,Just1n 父,knocked,3,TonyRC09,SMG
09:46,3,estebancam18,killed,16,Just1n 父,Shotgun
09:51,7,QuackyPaulinho,killed,6,aka Dyl,Shotgun
10:01,12,Mensch7,knocked,12,Mensch7,Fall
11:02,12,Banana Flav0r,knocked,-1,BOT,Shotgun
11:04,12,Banana Flav0r,killed,-1,BOT,Rifle
11:28,14,Death rag8,knocked,20,hi im sunny,Rifle
11:30,14,Death rag8,killed,20,hi im sunny,Rifle
11:48,14,Black night 67,knocked,20,YOU,Shotgun
11:49,20,ＹＡＳＨ,knocked,14,Black night 67,Shotgun
11:55,6,Lukedadude17,killed,6,Lukedadude17,Fall
12:15,14,Death rag8,killed,20,YOU,Rifle
12:29,3,estebancam18,killed,-1,BOT,Rifle
12:31,20,ＹＡＳＨ,knocked,14,Black night 67,Rifle
12:39,14,Death rag8,killed,20,ＹＡＳＨ,Rifle
